anime_id,name,episodes,rating,members,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Fantasy,Game,Historical,Horror,Josei,Kids,Magic,MartialArts,Mecha,Military,Mystery,Parody,Police,Psychological,Romance,Samurai,School,SciFi,Seinen,Shoujo,ShoujoAi,Shounen,ShounenAi,SliceofLife,Space,Sports,SuperPower,Supernatural,Thriller,Vampire,Movie,Music,ONA,OVA,Special,TV
32281,Kimi no Na wa.,-0.2433301813618895,2.8400611617089964,3.2996241754714264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5114,Fullmetal Alchemist: Brotherhood,1.0982965464630456,2.7317907491190954,14.040307052657385,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28977,Gintama ,0.8214529359594877,2.7219479843381955,1.7353804145858178,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9253,Steins Gate,0.246470052605944,2.643205866090994,11.8652569649393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9969,Gintama',0.8214529359594877,2.633363101310094,2.405573959970811,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,-0.051669220244041615,2.6235203365291944,1.3566533248780677,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11061,Hunter x Hunter (2011),2.8871321835629598,2.603834806967394,7.378759978609871,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
820,Ginga Eiyuu Densetsu,2.077897014398713,2.5841492774055927,1.1271459038663223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,-0.2433301813618895,2.574306512624693,0.9796287049915853,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15417,Gintama': Enchousen,0.012217766795241019,2.5841492774055927,1.134933797729568,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4181,Clannad: After Story,0.246470052605944,2.534935453501093,7.938292985612464,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28851,Koe no Katachi,-0.2433301813618895,2.525092688720193,1.5265743021454443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
918,Gintama,4.015802287923619,2.5152499239392916,5.758171711192733,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2904,Code Geass: Hangyaku no Lelouch R2,0.26776571495237156,2.456193335253892,10.04173067255084,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28891,Haikyuu!! Second Season,0.26776571495237156,2.4069795113493906,2.9140690950975285,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
199,Sen to Chihiro no Kamikakushi,-0.2433301813618895,2.4069795113493906,8.11044166275235,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
23273,Shigatsu wa Kimi no Uso,0.20387872791308892,2.3971367465684907,7.207462536380619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24701,Mushishi Zoku Shou 2nd Season,-0.051669220244041615,2.357765687444891,1.0404829454113662,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
